Norsk eksport av fisk totalt per marked;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
Polen; 197 ; 22 984 ; 116,53 ; 1 388 ; 154 372 ; 111,24 ; 1 089 ; 98 486 ; 90,44 
Australia; 116 ; 18 894 ; 163,48 ; 747 ; 121 250 ; 162,41 ; 855 ; 97 210 ; 113,75 
Spania; 121 ; 24 083 ; 198,95 ; 620 ; 107 560 ; 173,35 ; 1 093 ; 152 716 ; 139,75 
Danmark; 97 ; 10 369 ; 107,18 ; 659 ; 66 525 ; 100,98 ; 447 ; 36 200 ; 80,99 
Kina; 75 ; 12 961 ; 173,93 ; 378 ; 65 241 ; 172,55 ; 15 ; 2 032 ; 136,49 
Saudi-Arabia; 74 ; 11 654 ; 157,51 ; 352 ; 55 345 ; 157,33 ; 385 ; 50 893 ; 132,18 
Storbritannia; 71 ; 11 653 ; 164,94 ; 405 ; 53 137 ; 131,25 ; 321 ; 33 145 ; 103,17 
Italia; 125 ; 19 561 ; 156,91 ; 293 ; 47 082 ; 160,86 ; 286 ; 38 088 ; 133,00 
Hong Kong; 74 ; 11 798 ; 159,63 ; 239 ; 38 576 ; 161,10 ; 294 ; 36 367 ; 123,79 
Japan; 44 ; 7 064 ; 160,24 ; 190 ; 29 873 ; 157,25 ; 207 ; 26 969 ; 130,50 
Sveits; 41 ; 6 824 ; 166,40 ; 171 ; 27 160 ; 158,42 ; 81 ; 10 601 ; 131,48 
New Zealand; 32 ; 5 153 ; 163,28 ; 168 ; 25 550 ; 152,04 ; 58 ; 7 346 ; 126,21 
Nederland; 37 ; 5 707 ; 154,00 ; 187 ; 24 780 ; 132,44 ; 209 ; 21 038 ; 100,69 
Canada; 7 ; 1 358 ; 199,62 ; 157 ; 23 958 ; 152,35 ; 231 ; 27 382 ; 118,37 
Kypros; 42 ; 7 082 ; 168,65 ; 133 ; 21 139 ; 158,43 ; 19 ; 2 027 ; 106,17 
Ukraina; 34 ; 2 692 ; 80,12 ; 297 ; 20 064 ; 67,59 ; 420 ; 26 905 ; 64,07 
Sør-Korea; 22 ; 3 887 ; 175,93 ; 98 ; 17 372 ; 177,04 ; 1 ; 117 ; 120,05 
Kuwait;;; . ; 86 ; 16 161 ; 186,94 ; 68 ; 9 473 ; 139,05 
Litauen; 90 ; 7 653 ; 84,89 ; 240 ; 15 652 ; 65,29 ; 236 ; 14 986 ; 63,61 
Sør Afrika;;; . ; 116 ; 14 339 ; 123,37 ; 45 ; 4 256 ; 93,76 
Finland; 3 ; 363 ; 129,42 ; 68 ; 8 869 ; 130,68 ; 192 ; 13 827 ; 71,96 
De Forente Arabiske Emirater; 10 ; 1 512 ; 151,16 ; 58 ; 8 545 ; 146,65 ; -   ; 17 ; 125,58 
Serbia;;; . ; 59 ; 7 816 ; 131,69 ;;; . 
Portugal; 6 ; 834 ; 129,56 ; 43 ; 7 750 ; 181,65 ; 80 ; 10 791 ; 135,23 
Østerrike; 18 ; 2 348 ; 127,11 ; 56 ; 7 005 ; 124,22 ; 22 ; 2 450 ; 109,58 
Tyrkia;;; . ; 45 ; 5 048 ; 111,83 ; 7 ; 604 ; 85,00 
Mexico;;; . ; 33 ; 5 027 ; 150,52 ; 55 ; 6 264 ; 114,90 
Tsjekkia;;; . ; 20 ; 4 116 ; 207,97 ;;; . 
Thailand; 34 ; 2 579 ; 75,05 ; 58 ; 3 453 ; 59,20 ; 43 ; 4 636 ; 106,71 
India;;; . ; 26 ; 3 408 ; 130,25 ; 44 ; 3 662 ; 82,86 
Dominica;;; . ; 20 ; 3 307 ; 168,65 ; -   ; -   ; . 
Quatar; 22 ; 3 193 ; 144,34 ; 22 ; 3 193 ; 144,34 ; 20 ; 2 709 ; 135,46 
Egypt;;; . ; 19 ; 2 887 ; 153,72 ; 49 ; 6 151 ; 125,07 
Belgia;;; . ; 13 ; 2 330 ; 185,75 ; 87 ; 7 400 ; 85,07 
Irland; 11 ; 2 252 ; 198,13 ; 11 ; 2 252 ; 198,13 ; 15 ; 2 001 ; 133,81 
Romania;;; . ; 17 ; 2 093 ; 122,24 ; -   ; -   ; . 
Jordan;;; . ; 11 ; 1 974 ; 177,91 ; 37 ; 4 368 ; 118,66 
Vietnam; 2 ; 97 ; 49,14 ; 31 ; 1 862 ; 60,01 ; 7 ; 236 ; 33,02 
Kasakhstan; 3 ; 293 ; 87,18 ; 20 ; 1 761 ; 86,42 ; 15 ; 852 ; 58,08 
Hellas;;; . ; 24 ; 1 703 ; 70,62 ; 68 ; 6 735 ; 99,68 
Bulgaria; 11 ; 1 595 ; 148,49 ; 11 ; 1 595 ; 148,49 ;;; . 
Costa Rica; 10 ; 1 502 ; 149,27 ; 10 ; 1 502 ; 149,27 ; -   ; -   ; . 
Georgia;;; . ; 15 ; 1 216 ; 80,31 ; 13 ; 606 ; 47,06 
Estland;;; . ; 21 ; 946 ; 44,11 ; 34 ; 1 400 ; 41,51 
Usbekistan;;; . ; 8 ; 911 ; 112,00 ;;; . 
Kenya;;; . ; 5 ; 774 ; 155,23 ; -   ; -   ; . 
Latvia; 3 ; 263 ; 87,30 ; 8 ; 703 ; 85,31 ; 33 ; 1 617 ; 48,86 
Taiwan;;; . ; 22 ; 430 ; 19,90 ; -   ; -   ; . 
Tanzania; 1 ; 87 ; 168,22 ; 2 ; 295 ; 166,06 ; 2 ; 250 ; 124,30 
Filippinene;;; . ; 5 ; 250 ; 55,25 ; 36 ; 3 362 ; 94,65 
Nepal;;; . ; -   ; 89 ; 220,06 ; 1 ; 50 ; 83,78 
Malaysia;;; . ; -   ; 54 ; 186,59 ; -   ; -   ; . 
;;;;;;;;;
Varenr: 03048100;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av røkt laks;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 124 ; 25 949 ; 208,54 ; 635 ; 121 863 ; 191,88 ; 618 ; 96 671 ; 156,41 
EU27; 35 ; 6 715 ; 190,77 ; 221 ; 38 137 ; 172,73 ; 195 ; 28 789 ; 147,31 
U S A; 20 ; 4 536 ; 225,94 ; 110 ; 21 591 ; 196,38 ; 150 ; 22 799 ; 152,14 
Saudi-Arabia; 28 ; 5 634 ; 203,09 ; 106 ; 21 449 ; 202,19 ; 117 ; 20 702 ; 176,81 
Italia; 7 ; 2 132 ; 292,43 ; 65 ; 16 537 ; 254,87 ; 72 ; 14 943 ; 207,09 
Australia; 6 ; 1 119 ; 201,23 ; 76 ; 15 007 ; 198,26 ; 37 ; 5 356 ; 143,60 
Sverige; 11 ; 2 477 ; 225,48 ; 72 ; 10 057 ; 139,53 ; 29 ; 4 348 ; 151,41 
Sveits; 3 ; 551 ; 215,23 ; 17 ; 3 716 ; 221,34 ; 11 ; 2 055 ; 194,17 
Tyskland; 10 ; 1 215 ; 118,44 ; 31 ; 3 642 ; 119,06 ; 36 ; 2 451 ; 67,75 
De Forente Arabiske Emirater; 5 ; 1 056 ; 199,18 ; 16 ; 3 168 ; 196,68 ; -   ; -   ; . 
Latvia; 2 ; 303 ; 200,99 ; 15 ; 2 852 ; 193,71 ; 14 ; 2 114 ; 147,46 
New Zealand; 7 ; 1 407 ; 201,04 ; 15 ; 2 571 ; 169,59 ; -   ; -   ; . 
Canada; 7 ; 1 659 ; 248,36 ; 11 ; 2 520 ; 232,39 ; 6 ; 1 012 ; 179,28 
Østerrike; -   ; 25 ; 1 679,40 ; 11 ; 2 349 ; 214,50 ; 9 ; 1 585 ; 170,07 
Costa Rica; 10 ; 2 257 ; 225,69 ; 10 ; 2 257 ; 225,69 ; -   ; -   ; . 
Israel;;; . ; 10 ; 2 140 ; 211,48 ; 2 ; 368 ; 184,20 
Japan;;; . ; 7 ; 1 629 ; 242,87 ; 5 ; 922 ; 171,34 
Jordan; 1 ; 139 ; 250,94 ; 7 ; 1 596 ; 235,53 ; 14 ; 2 414 ; 170,05 
Kenya; 1 ; 141 ; 270,73 ; 5 ; 1 070 ; 217,27 ; 4 ; 698 ; 177,73 
Nederland; 1 ; 88 ; 64,82 ; 13 ; 934 ; 70,51 ; 4 ; 194 ; 54,48 
Danmark; -   ; 2 ; 207,60 ; 6 ; 841 ; 129,41 ; 6 ; 449 ; 78,36 
Kuwait; -   ; 9 ; 467,10 ; 4 ; 797 ; 199,87 ; 9 ; 1 714 ; 195,85 
Mexico;;; . ; 3 ; 717 ; 248,39 ; 6 ; 1 244 ; 218,05 
Egypt;;; . ; 3 ; 677 ; 211,68 ; 7 ; 1 143 ; 175,87 
Hong Kong; 2 ; 498 ; 220,75 ; 2 ; 515 ; 222,24 ; 9 ; 1 436 ; 158,09 
Frankrike; 1 ; 318 ; 275,68 ; 1 ; 357 ; 275,12 ; 1 ; 128 ; 221,43 
Georgia; -   ; 72 ; 241,48 ; 2 ; 346 ; 230,98 ; -   ; -   ; . 
India;;; . ; 1 ; 340 ; 229,13 ; -   ; 85 ; 180,37 
Ukraina;;; . ; 5 ; 335 ; 70,25 ; 4 ; 143 ; 39,52 
Spania; 1 ; 145 ; 150,02 ; 2 ; 323 ; 136,63 ; 12 ; 957 ; 80,20 
Storbritannia;;; . ; 1 ; 249 ; 243,96 ; -   ; -   ; . 
Polen; 2 ; 11 ; 6,63 ; 4 ; 225 ; 58,27 ; -   ; -   ; . 
Rwanda; -   ; 57 ; 192,60 ; 1 ; 214 ; 240,51 ; -   ; 87 ; 216,99 
Martinique;;; . ; 1 ; 172 ; 295,77 ;;; . 
Quatar; -   ; 38 ; 234,66 ; 1 ; 167 ; 231,80 ; 2 ; 405 ; 198,29 
Zimbabwe;;; . ; 1 ; 142 ; 237,24 ; 1 ; 158 ; 169,57 
Nepal;;; . ; -   ; 106 ; 260,96 ; 1 ; 199 ; 214,86 
Nigeria;;; . ; -   ; 78 ; 342,99 ; 1 ; 171 ; 155,86 
Oman; -   ; 32 ; 352,21 ; -   ; 59 ; 326,81 ; -   ; 27 ; 246,44 
Mauritius; -   ; 7 ; 335,40 ; -   ; 36 ; 293,78 ; -   ; 43 ; 230,87 
Thailand;;; . ; -   ; 35 ; 241,45 ; -   ; -   ; . 
Finland;;; . ; -   ; 21 ; 69,58 ; 1 ; 30 ; 49,48 
Zambia; -   ; 18 ; 206,39 ; -   ; 18 ; 206,39 ; -   ; -   ; . 
;;;;;;;;;
Varenr: 03054100;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av gravet laks;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 1 ; 247 ; 269,49 ; 14 ; 2 961 ; 215,44 ; 8 ; 1 451 ; 177,14 
EU27; 1 ; 142 ; 233,24 ; 5 ; 1 217 ; 222,47 ; 6 ; 1 022 ; 179,30 
Sverige; 1 ; 126 ; 226,46 ; 4 ; 887 ; 225,43 ; 3 ; 478 ; 140,07 
Saudi-Arabia;;; . ; 4 ; 688 ; 189,93 ; -   ; -   ; . 
Sveits; -   ; 88 ; 344,26 ; 1 ; 454 ; 347,34 ; 1 ; 342 ; 278,52 
Nepal;;; . ; 2 ; 360 ; 238,34 ;;; . 
Latvia;;; . ; 1 ; 178 ; 206,22 ; -   ; -   ; . 
Østerrike;;; . ; 1 ; 136 ; 219,42 ; 2 ; 401 ; 188,06 
Mexico;;; . ; 1 ; 128 ; 255,42 ; -   ; -   ; . 
Ukraina;;; . ; 1 ; 61 ; 53,40 ; 1 ; 29 ; 29,88 
Oman; -   ; 14 ; 356,38 ; -   ; 26 ; 330,76 ; -   ; 15 ; 247,37 
Thailand;;; . ; -   ; 23 ; 238,53 ; -   ; -   ; . 
Tyskland; -   ; 15 ; 308,78 ; -   ; 15 ; 308,78 ; -   ; 28 ; 202,96 
;;;;;;;;;
Varenr: 16041101;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av laks i lufttett lukket embalasje;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 5 ; 1 136 ; 224,41 ; 31 ; 5 511 ; 175,03 ; 43 ; 5 829 ; 134,47 
EU27; 5 ; 1 136 ; 224,41 ; 21 ; 3 845 ; 184,54 ; 43 ; 5 812 ; 134,38 
Latvia; 2 ; 368 ; 243,99 ; 9 ; 1 975 ; 224,67 ; 13 ; 2 179 ; 162,70 
Nigeria;;; . ; 10 ; 1 613 ; 154,50 ; -   ; 11 ; 159,39 
Østerrike;;; . ; 8 ; 1 024 ; 126,50 ; 23 ; 2 655 ; 117,57 
Spania; 2 ; 491 ; 213,09 ; 2 ; 491 ; 213,09 ; -   ; -   ; . 
Sverige; 1 ; 277 ; 221,63 ; 1 ; 277 ; 221,63 ; 7 ; 979 ; 134,42 
Italia;;; . ; -   ; 79 ; 196,90 ; -   ; -   ; . 
Kenya;;; . ; -   ; 53 ; 252,64 ;;; . 
;;;;;;;;;
Varenr: 16041102;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av bearbeidet laks ellers;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; -   ; 54 ; 163,91 ; -   ; 83 ; 187,85 ; 75 ; 6 597 ; 87,96 
EU27; -   ; 45 ; 165,64 ; -   ; 60 ; 186,91 ; 2 ; 103 ; 46,07 
Litauen; -   ; 39 ; 150,10 ; -   ; 39 ; 150,10 ;;; . 
Tyskland;;; . ; -   ; 13 ; 347,68 ; -   ; -   ; . 
De Forente Arabiske Emirater;;; . ; -   ; 11 ; 251,11 ; -   ; -   ; . 
Canada; -   ; 7 ; 179,78 ; -   ; 10 ; 169,85 ; -   ; 3 ; 115,87 
;;;;;;;;;
Varenr: 16041109;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av ørret, omregnet til rund vekt;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;Januar - april 2023 ureviderte tall;;Januar - april 2022 reviderte tall;;;;
; Mengde ; Verdi ; Mengde ; Verdi ; Mengde ; Verdi ;;;
TOTALT; 3 396 ; 321 659 ; 15.943 ; 1 427 581 ; 18 744 ; 1.253.711 ;;;
EU27; 883 ; 70 426 ; 4.500 ; 346 408 ; 3 779 ; 232.210 ;;;
U S A; 778 ; 77 422 ; 3.324 ; 331 202 ; 3 813 ; 242.772 ;;;
Thailand; 421 ; 44 584 ; 1.918 ; 190 042 ; 2 906 ; 215.689 ;;;
Litauen; 272 ; 21 426 ; 1.596 ; 132 826 ; 151 ; 5.782 ;;;
Japan; 207 ; 19 326 ; 1.073 ; 92 938 ; 1 464 ; 97.850 ;;;
Malaysia; 183 ; 19 950 ; 907,00 ; 88 172 ; 1 060 ; 78.830 ;;;
Ukraina; 304 ; 22 231 ; 1.099 ; 75 871 ; 1 138 ; 59.244 ;;;
Polen; 204 ; 16 404 ; 913,00 ; 68 900 ; 1 554 ; 94.051 ;;;
Canada; 112 ; 14 905 ; 500,00 ; 66 390 ; 916 ; 73.814 ;;;
Kasakhstan; 139 ; 13 419 ; 560,00 ; 48 470 ; 332 ; 17.455 ;;;
Indonesia; 99 ; 10 517 ; 387,00 ; 39 110 ; -   ; -   ;;;
Frankrike; 66 ; 6 310 ; 425,00 ; 37 352 ; 485 ; 32.332 ;;;
Tyskland; 74 ; 7 700 ; 399,00 ; 33 976 ; 461 ; 27.505 ;;;
Singapore; 62 ; 6 987 ; 323,00 ; 33 735 ; 318 ; 24.423 ;;;
Armenia; 63 ; 6 748 ; 254,00 ; 28 678 ; -   ; -   ;;;
Kina; 30 ; 2 282 ; 381,00 ; 25 601 ; 159 ; 9.461 ;;;
Danmark; 142 ; 8 746 ; 419,00 ; 24 124 ; 245 ; 12.347 ;;;
Estland; 26 ; 2 128 ; 220,00 ; 15 114 ; 166 ; 10.651 ;;;
Storbritannia; 12 ; 1 393 ; 125,00 ; 14 213 ; 184 ; 13.143 ;;;
Finland; 33 ; 2 362 ; 213,00 ; 12 744 ; 203 ; 11.172 ;;;
Israel;;; 62,00 ; 8 723 ; 182 ; 15.103 ;;;
Vietnam; 3 ; 366 ; 122,00 ; 7 566 ; 268 ; 19.289 ;;;
Taiwan; 21 ; 2 467 ; 68,00 ; 7 540 ; 263 ; 19.886 ;;;
Tyrkia; 24 ; 1 957 ; 120,00 ; 6 722 ; 160 ; 8.764 ;;;
Nederland; 14 ; 1 501 ; 67,00 ; 5 816 ; 131 ; 10.127 ;;;
Filippinene;;; 88,00 ; 5 165 ; 207 ; 12.515 ;;;
Latvia; 3 ; 367 ; 84,00 ; 4 886 ; 41 ; 2.755 ;;;
Spania; 16 ; 1 460 ; 48,00 ; 4 120 ; 66 ; 4.477 ;;;
Sverige; 28 ; 1 499 ; 91,00 ; 3 959 ; 149 ; 8.310 ;;;
Australia; 25 ; 3 511 ; 25,00 ; 3 511 ; 203 ; 19.820 ;;;
De Forente Arabiske Emirater; 2 ; 255 ; 22,00 ; 2 072 ; 29 ; 2.362 ;;;
Sør-Korea; 13 ; 1 461 ; 13,00 ; 1 490 ; -   ; 38,00 ;;;
Sveits; 3 ; 278 ; 13,00 ; 1 351 ; 12 ; 775,00 ;;;
Belgia; 4 ; 369 ; 18,00 ; 1 350 ; 111 ; 10.914 ;;;
Saudi-Arabia; 9 ; 902 ; 9,00 ; 902 ; 35 ; 2.476 ;;;
Italia; 1 ; 143 ; 5,00 ; 864 ; 6 ; 1.003 ;;;
Georgia;;; 18,00 ; 843 ; 18 ; 547,00 ;;;
Hong Kong; 2 ; 251 ; 3,00 ; 394 ; 26 ; 2.586 ;;;
Hellas;;; 2,00 ; 264 ; 2 ; 207,00 ;;;
Moldova;;; 25,00 ; 184 ;; . ;;;
Kypros;;; 1,00 ; 98 ; -   ; 39,00 ;;;
Kenya;;; 1,00 ; 92 ; 1 ; 157,00 ;;;
Quatar; -   ; 11 ; 1,00 ; 82 ; 2 ; 116,00 ;;;
Kuwait;;; 1,00 ; 81 ; 5 ; 366,00 ;;;
Oman; -   ; 7 ; -   ; 34 ; -   ; 27,00 ;;;
Irland; -   ; 10 ; -   ; 12 ;; . ;;;
Costa Rica; -   ; 2 ; -   ; 2 ;; . ;;;
Romania;;; -   ; 1 ; 6 ; 416,00 ;;;
Hviterussland;;; . ;; 1 201 ; 80.329 ;;;
Colombia;;; . ;; -   ; -   ;;;
Egypt;;; . ;; 6 ; 388,00 ;;;
Guam;;; . ;; -   ; -   ;;;
Kirgisistan;;; . ;; 34 ; 2.096 ;;;
Marokko;;; . ;; -   ; 10,00 ;;;
Macao;;; . ;; -   ; -   ;;;
Portugal;;; . ;; 1 ; 122,00 ;;;
Uruguay;;; . ;; -   ; -   ;;;
Usbekistan;;; . ;; -   ; -   ;;;
Sør Afrika;;; . ;; 22 ; 1.169 ;;;
;;;;;;;;;
Varenr: 03021101 03021111 03021119 03021190 03032101 03031411 03031419 03031490 03041921 03044200 03041929 03045202 03044800 03042920 03054300;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av fersk oppdrettsørret;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 1 757 ; 203 336 ; 115,71 ; 7 568 ; 834 604 ; 110,28 ; 8 626 ; 704 216 ; 81,64 
EU27; 488 ; 49 766 ; 101,89 ; 2 435 ; 238 582 ; 97,98 ; 1 573 ; 115 124 ; 73,19 
Thailand; 280 ; 36 194 ; 129,26 ; 1 315 ; 156 335 ; 118,90 ; 1 976 ; 175 271 ; 88,72 
U S A; 257 ; 30 446 ; 118,26 ; 1 015 ; 122 770 ; 120,98 ; 1 598 ; 122 502 ; 76,64 
Litauen; 147 ; 15 535 ; 105,90 ; 965 ; 104 313 ; 108,06 ; 50 ; 4 047 ; 81,14 
Malaysia; 161 ; 19 950 ; 123,67 ; 728 ; 82 115 ; 112,79 ; 891 ; 75 879 ; 85,19 
Ukraina; 181 ; 19 966 ; 110,42 ; 644 ; 69 191 ; 107,36 ; 641 ; 53 437 ; 83,40 
Indonesia; 87 ; 10 517 ; 121,18 ; 321 ; 37 512 ; 116,84 ; -   ; -   ; . 
Polen; 140 ; 13 427 ; 96,16 ; 400 ; 35 612 ; 89,13 ; 639 ; 45 517 ; 71,28 
Frankrike; 56 ; 6 035 ; 108,04 ; 358 ; 35 386 ; 98,78 ; 262 ; 18 227 ; 69,66 
Kasakhstan; 80 ; 9 724 ; 121,03 ; 266 ; 29 703 ; 111,48 ; 11 ; 1 039 ; 96,96 
Armenia; 56 ; 6 748 ; 121,15 ; 224 ; 28 678 ; 128,12 ; -   ; -   ; . 
Singapore; 55 ; 6 987 ; 127,67 ; 240 ; 28 136 ; 117,04 ; 280 ; 24 405 ; 87,21 
Japan; 48 ; 5 661 ; 118,62 ; 210 ; 22 826 ; 108,54 ; 157 ; 12 587 ; 80,38 
Tyskland; 33 ; 3 840 ; 115,10 ; 228 ; 22 223 ; 97,65 ; 156 ; 10 644 ; 68,18 
Estland; 23 ; 2 128 ; 93,23 ; 155 ; 13 047 ; 84,27 ; 145 ; 10 609 ; 73,25 
Taiwan; 18 ; 2 467 ; 134,74 ; 59 ; 7 540 ; 126,82 ; 127 ; 13 056 ; 102,86 
Finland; 21 ; 1 994 ; 95,25 ; 93 ; 7 280 ; 78,29 ; 41 ; 3 214 ; 77,51 
Nederland; 12 ; 1 498 ; 124,06 ; 56 ; 5 649 ; 101,09 ; 115 ; 10 050 ; 87,68 
Latvia; 3 ; 367 ; 121,79 ; 42 ; 4 223 ; 100,28 ; 34 ; 2 695 ; 79,82 
Danmark; 29 ; 2 598 ; 89,08 ; 54 ; 4 134 ; 76,20 ; 50 ; 4 066 ; 81,87 
Spania; 14 ; 1 436 ; 101,42 ; 41 ; 4 011 ; 97,05 ; 31 ; 2 483 ; 80,48 
Tyrkia; 21 ; 1 957 ; 93,27 ; 42 ; 3 929 ; 93,91 ; 86 ; 6 507 ; 75,68 
Sverige; 10 ; 826 ; 82,43 ; 38 ; 2 205 ; 57,88 ; 34 ; 2 035 ; 59,86 
De Forente Arabiske Emirater; 2 ; 255 ; 124,13 ; 18 ; 2 033 ; 111,08 ; 26 ; 2 362 ; 91,20 
Sveits; 2 ; 261 ; 120,55 ; 11 ; 1 266 ; 110,83 ; 9 ; 669 ; 70,83 
Saudi-Arabia; 8 ; 902 ; 117,26 ; 8 ; 902 ; 117,26 ; 1 ; 67 ; 121,09 
Vietnam; 3 ; 366 ; 130,43 ; 8 ; 898 ; 110,81 ; 119 ; 12 895 ; 108,43 
Storbritannia;;; . ; 9 ; 757 ; 82,98 ; 77 ; 6 363 ; 83,11 
Sør-Korea; 7 ; 726 ; 105,70 ; 7 ; 752 ; 105,98 ; -   ; 2 ; 106,04 
Kina; 3 ; 430 ; 142,22 ; 3 ; 430 ; 142,22 ; 10 ; 1 248 ; 122,92 
Belgia; 1 ; 71 ; 124,92 ; 3 ; 310 ; 109,82 ; 10 ; 901 ; 88,99 
Kypros;;; . ; 1 ; 98 ; 76,97 ; -   ; 39 ; 99,36 
Canada;;; . ; 1 ; 86 ; 86,37 ; 2 ; 133 ; 74,25 
Quatar; -   ; 11 ; 131,18 ; 1 ; 82 ; 111,86 ; 2 ; 116 ; 77,34 
Kuwait;;; . ; 1 ; 81 ; 89,10 ; 4 ; 363 ; 81,61 
Italia; -   ; 2 ; 132,39 ; 1 ; 77 ; 120,43 ; 1 ; 57 ; 90,08 
Irland; -   ; 10 ; 98,03 ; -   ; 12 ; 95,18 ;;; . 
;;;;;;;;;
Varenr: 03021101 03021102 03021103 03021111 03021119;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av fryst oppdrettsørret;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 370 ; 28 679 ; 77,45 ; 2 320 ; 174 254 ; 75,10 ; 2 702 ; 160 386 ; 59,35 
EU27; 117 ; 8 746 ; 74,79 ; 738 ; 52 350 ; 70,97 ; 732 ; 41 754 ; 57,05 
Thailand; 86 ; 8 390 ; 97,73 ; 338 ; 30 654 ; 90,62 ; 484 ; 33 792 ; 69,86 
Japan; 46 ; 4 331 ; 95,11 ; 285 ; 25 212 ; 88,52 ; 236 ; 17 315 ; 73,47 
Kina; 21 ; 1 852 ; 88,38 ; 295 ; 25 170 ; 85,32 ; 115 ; 8 214 ; 71,47 
