"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Norway","2023","Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","534129.802","278146","Weight in kilograms","278146"
"Norway","2023","Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","7558.548","2148","Weight in kilograms","2148"
"Norway","2023","Fish; frozen, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","3246.287","1800","Weight in kilograms","1800"
"Norway","2023","Fish; frozen, of Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, Muraenolepididae, other than cod, haddock, coalfish, hake, Alaska pollack, blue whitings, not fillets, meat of 0304, and edible offal of 0303.9","Export","1856594.225","622553","Weight in kilograms","622553"
"Norway","2023","Fish; frozen, of Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, Muraenolepididae, other than cod, haddock, coalfish, hake, Alaska pollack, blue whitings, not fillets, meat of 0304, and edible offal of 0303.9","Import","22929.266","12002","Weight in kilograms","12002"
"Norway","2023","Fish; frozen, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","745.285","162","Weight in kilograms","162"
"Norway","2023","Fish; frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","242021.35","60993","Weight in kilograms","60993"
"Norway","2023","Fish; frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","224.624","50","Weight in kilograms","50"
"Norway","2023","Fish; frozen, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","939.115","104","Weight in kilograms","104"
"Norway","2023","Fish; frozen, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","6744.024","860","Weight in kilograms","860"
"Norway","2023","Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","81501094.266","39074972","Weight in kilograms","39074972"
"Norway","2023","Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","677807.382","138948","Weight in kilograms","138948"
"Norway","2023","Fish; frozen, livers, roes and milt","Export","31620348.424","6813386","Weight in kilograms","6813386"
"Norway","2023","Fish; frozen, livers, roes and milt","Import","2581.481","34","Weight in kilograms","34"
"Norway","2023","Fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal","Export","45721633.504","34110079","Weight in kilograms","34110079"
"Norway","2023","Fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal","Import","12595975.577","12790145","Weight in kilograms","12790145"
"Norway","2023","Fish fillets; fresh or chilled, tilapias (Oreochromis spp.)","Export","835.021","98","Weight in kilograms","98"
"Norway","2023","Fish fillets; fresh or chilled, tilapias (Oreochromis spp.)","Import","4741.39","950","Weight in kilograms","950"
"Norway","2023","Fish fillets; fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","Export","514.426","64","Weight in kilograms","64"
"Norway","2023","Fish fillets; fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","Import","2432.046","720","Weight in kilograms","720"
"Norway","2023","Fish fillets; fresh or chilled, Nile perch (Lates niloticus)","Import","205.638","15","Weight in kilograms","15"
"Norway","2023","Fish fillets; fresh or chilled, carp (as specified by the WCO), eels (Anguilla spp.), and snakeheads (Channa spp.)","Export","63752.167","6178","Weight in kilograms","6178"
"Norway","2023","Fish fillets; fresh or chilled, carp (as specified by the WCO), eels (Anguilla spp.), and snakeheads (Channa spp.)","Import","249.089","8","Weight in kilograms","8"
